Athlete;Nation;EventDate;Year;Competition;Event;Qualified;Apparatus;Dscore;Escore;Penalties;FinalScore;Rank
YEH Cheng;TPE;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.400;7.933;;13.333;51
YANG Jiaxing;CHN;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;6.100;7.200;;13.300;52
KIRMES Robert;FIN;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.400;7.966;-0.1;13.266;53
NAJJAR Lais;SYR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.300;7.966;;13.266;54
BENDA Alexander;AUT;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.500;7.766;;13.266;55
BURTANETE Gabriel;ROU;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.600;7.666;;13.266;56
PATANIN Dmitriy;KAZ;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.900;7.566;-0.2;13.266;57
LEVANTESI Matteo;ITA;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.100;8.133;;13.233;58
MAYOL Santiago;ARG;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.400;7.833;;13.233;59
FREY Andrin;SUI;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;6.000;7.533;-0.3;13.233;60
AZIMOV Abdulla;UZB;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;4.900;8.266;;13.166;61
DUNKEL Nils;GER;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.100;8.166;-0.1;13.166;62
BALAZS Krisztian;HUN;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.300;7.866;;13.166;63
KUAVITA Noah;BEL;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.300;8.100;-0.3;13.100;64
KAJI Chris;CAN;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.100;8.000;;13.100;65
AFIFY Mohamed;EGY;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.100;8.000;;13.100;65
GENTGES Maxime;BEL;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.000;8.066;;13.066;67
SALADINO Leo;FRA;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.500;7.866;-0.3;13.066;68
BACUETI James;AUS;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.300;8.033;-0.3;13.033;69
CAMPOS Guilherme;POR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.400;7.633;;13.033;70
JURAEV Utkirbek;UZB;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;4.000;9.000;;13.000;71
KHACHIKYAN Gagik;ARM;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;4.800;8.200;;13.000;72
DOLGOPYAT Artem;ISR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.900;7.100;;13.000;73
CALVO MORENO Jossimar Orlando;COL;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.600;7.333;;12.933;74
GRUENBERG Jermain;NED;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.200;7.800;-0.1;12.900;75
SUPRUN Bohdan;UKR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.500;7.500;-0.1;12.900;76
MONTGOMERY Eamon;IRL;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.900;7.000;;12.900;77
MARTINEZ Manuel;COL;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;4.500;8.333;;12.833;78
TREBING Glenn;GER;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.400;7.433;;12.833;79
KOSKI Elias;FIN;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.000;7.900;-0.1;12.800;80
KUMAR Gaurav;IND;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.200;7.600;;12.800;81
NOGUEIRA Jose;POR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.500;7.400;-0.1;12.800;82
CHARI Michalis;CYP;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.600;7.200;;12.800;83
MALONE Brody;USA;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.900;6.966;-0.1;12.766;84
LEE Junho;KOR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.300;7.433;;12.733;85
ERGASHEV Khabibullo;UZB;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;4.900;7.800;;12.700;86
THORPE Heath;AUS;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.200;7.600;-0.1;12.700;87
BRENDEL Pascal;GER;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.100;7.600;;12.700;88
MIR Nicolau;ESP;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.900;7.000;-0.2;12.700;89
KOVTUN Illia;UKR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;6.100;6.700;-0.1;12.700;90
THORISSON Jonas Ingi;ISL;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.000;7.633;;12.633;91
MATIEV Askhab;AUT;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.300;7.300;;12.600;92
ALEKSANDROV Yordan;BUL;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;4.900;7.666;;12.566;93
ALVAREZ Joel;CHI;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.100;7.466;;12.566;94
KUZMICKAS Tomas;LTU;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.200;7.633;-0.3;12.533;95
PLATE Ricards;LAT;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.000;7.533;;12.533;96
DEGOUY Paul;FRA;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.300;7.233;;12.533;97
LENBERG Joakim;SWE;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;4.900;7.600;;12.500;98
SEIFERT Noe;SUI;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.700;6.800;;12.500;99
NASSER Abderrazak;MAR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;4.800;7.666;;12.466;100
RUDY Ricardo;AUT;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.100;7.333;;12.433;101
DOLCI Felix;CAN;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.900;6.633;-0.1;12.433;102
KANELLOS Apostolos;GRE;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;4.700;7.766;-0.1;12.366;103
PENA Leandro;DOM;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.100;7.166;;12.266;104
PHILIPPE Mathias;FRA;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.200;7.033;;12.233;105
SINGH Yogeshwar;IND;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.300;6.933;;12.233;106
MASON STEPHENS Clay;AUS;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.500;6.700;;12.200;107
SUN Wei;CHN;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.700;6.600;-0.1;12.200;108
MEDVEDEV Andrey;ISR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;4.000;8.133;;12.133;109
MUNTEAN Andrei Vasile;ROU;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.200;6.900;;12.100;110
RUMBUTIS David;SWE;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;4.500;7.566;;12.066;111
BURTANETE Robert;ROU;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.300;7.033;-0.3;12.033;112
ABDELHALEEM Abdelrahman;EGY;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.200;7.200;-0.4;12.000;113
BOZIC Nikolaj;SLO;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.300;6.700;;12.000;114
KRANZLMUELLER Severin;AUT;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.100;6.866;;11.966;115
ABDELRAHMAN Ahmed;EGY;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.400;7.433;-0.9;11.933;116
GUNDOGDU Yunus;TUR;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.000;6.866;;11.866;117
LANGENEGGER Florian;SUI;05/11/2022;2022;World Championships;Liverpool WC 2022;N;FX;5.200;6.766;-0.1;11.866;118
