Athlete;Nation;EventDate;Year;Competition;Event;Qualified;Apparatus;Dscore;Escore;Penalties;FinalScore;Rank
SITCHINAVA Bidzina;GEO;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.1;7.733;;12.833;67
MARC Razvan-Denis;ROU;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.4;7.433;;12.833;68
MONTGOMERY Eamon;IRL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.8;7.033;;12.833;69
SAFAROV Mansum;AZE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.0;7.800;;12.800;70
CUYLE Nicola;BEL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.5;7.333;-0.10;12.733;71
TULLOCH Courtney;GBR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.5;7.233;;12.733;72
DALSGARD Rani;DEN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.3;7.700;-0.30;12.700;73
PLATE Ricards;LAT;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.0;7.700;;12.700;74
MATIEV Askhab;AUT;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.1;7.600;;12.700;75
JACOBSEN Aron;DEN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;4.7;7.966;;12.666;76
ANGONAS Georgios;CYP;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;4.8;7.866;;12.666;77
GKINIS Stavros;GRE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.0;7.766;-0.10;12.666;78
THORISSON Jonas Ingi;ISL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.0;7.733;-0.10;12.633;79
IDESJOE Karl;SWE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.0;7.700;-0.10;12.600;80
PAKHNIUK Petro;UKR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.4;7.200;;12.600;81
KANELLOS Apostolos;GRE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;4.5;8.066;;12.566;82
KOSAK Mehmet Ayberk;TUR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.5;7.000;;12.500;83
VAN DEN KEYBUS Luka;BEL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.6;6.900;;12.500;84
GULIDOV Pavel;ISR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.2;7.466;-0.20;12.466;85
ABAD Nestor;ESP;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.4;7.133;-0.10;12.433;86
GAHRAMANOV Aghamurad;AZE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.5;6.933;;12.433;87
KUZMICKAS Titas;LTU;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;4.0;8.400;;12.400;88
MC ATEER Ewan;IRL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.1;7.300;;12.400;89
RUDY Ricardo;AUT;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.2;7.166;;12.366;90
VALGEIRSSON Atli Snaer;ISL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;4.7;7.633;;12.333;91
VANSTROEM Kim;SWE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.3;7.033;;12.333;92
TOMCSANYI Benedek;HUN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.3;6.933;;12.233;93
BENOVIC Aurel;CRO;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;6.2;6.133;-0.20;12.133;94
CUYLE Glen;BEL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.4;6.700;;12.100;95
DUDUCHAVA Valiko;GEO;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;4.7;7.133;;11.833;96
KRANITIS Nikolaos;GRE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;4.8;7.100;-0.10;11.800;97
MELNYKOV Mykyta;UKR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.1;6.666;;11.766;98
PILAKOURIS Sokratis;CYP;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;4.4;7.300;;11.700;99
FOX Daniel;IRL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;! 3.8;7.866;;11.666;100
HUDDLESTON David;BUL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.6;6.066;;11.666;101
ALEKSANDROV Yordan;BUL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.1;6.733;-0.20;11.633;102
VEFIC Petar;SRB;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.1;6.533;;11.633;103
ABESADZE Saba;GEO;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.3;6.300;;11.600;104
KIRMES Oskar;FIN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;4.7;6.966;-0.10;11.566;105
NEMCOVIC Matej;SVK;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.0;6.466;;11.466;106
DIMITROV Dimitar;BUL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.9;5.566;-0.20;11.266;107
BOZIC Nikolaj;SLO;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;4.9;6.033;-0.10;10.833;108
LIASKINAS Ernestas;LTU;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;4.5;6.200;;10.700;109
SENER Kerem;TUR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;FX;5.2;4.866;-0.30;9.766;110
FRASER Joe;GBR;18/08/2022;2022;European Championships;Munich EUCH 2022;Y;PH;6.1;8.500;;14.600;1
DE MUNCK Loran;NED;18/08/2022;2022;European Championships;Munich EUCH 2022;Y;PH;6.3;8.266;;14.566;2
MERDINYAN Harutyun;ARM;18/08/2022;2022;European Championships;Munich EUCH 2022;Y;PH;6.1;8.400;;14.500;3
UDE Filip;CRO;18/08/2022;2022;European Championships;Munich EUCH 2022;Y;PH;5.8;8.633;;14.433;4
OSBERGER Benjamin;FRA;18/08/2022;2022;European Championships;Munich EUCH 2022;Y;PH;5.7;8.666;;14.366;5
DUNKEL Nils;GER;18/08/2022;2022;European Championships;Munich EUCH 2022;Y;PH;6.1;8.266;;14.366;6
ARICAN Ferhat;TUR;18/08/2022;2022;European Championships;Munich EUCH 2022;Y;PH;5.8;8.500;;14.300;7
DAVTYAN Artur;ARM;18/08/2022;2022;European Championships;Munich EUCH 2022;Y;PH;5.7;8.500;;14.200;8
MC CLENAGHAN Rhys;IRL;18/08/2022;2022;European Championships;Munich EUCH 2022;R;PH;5.9;8.300;;14.200;9
HALL James;GBR;18/08/2022;2022;European Championships;Munich EUCH 2022;R;PH;5.9;8.033;;13.933;10
TOBA Andreas;GER;18/08/2022;2022;European Championships;Munich EUCH 2022;R;PH;5.6;8.266;;13.866;11
ZUGEC Mateo;CRO;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.5;8.333;;13.833;12
SELIGMAN Robert;CRO;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.5;8.266;;13.766;13
DIALLO Thierno;ESP;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.8;7.966;;13.766;14
SEIFERT Noe;SUI;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;! 5.7;7.966;;13.666;15
TREBING Glenn;GER;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.8;7.866;;13.666;16
HUDDLESTON David;BUL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.1;8.533;;13.633;17
CHASAZYROVAS Gytis;LTU;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;6.0;7.633;;13.633;18
KHACHIKYAN Gagik;ARM;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;6.3;7.300;;13.600;19
BARTOLINI Nicola;ITA;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.2;8.366;;13.566;20
ARNOLD Manuel Helmut;AUT;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.3;8.266;;13.566;21
PLATA Joel;ESP;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.4;8.166;;13.566;22
SALEUR Julien;FRA;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.1;8.400;;13.500;23
ONDER Ahmet;TUR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.5;8.000;;13.500;24
SUNDELL William;SWE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.2;8.200;;13.400;25
KOVTUN Illia;UKR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;6.3;7.066;;13.366;26
ASIL Adem;TUR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.0;8.300;;13.300;27
RADKOV Rayan;BUL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.0;8.300;;13.300;27
KIRMES Robert;FIN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.2;8.066;;13.266;29
KOSKI Elias;FIN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.7;8.533;;13.233;30
RUDY Ricardo;AUT;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.8;8.433;;13.233;31
ZEIDEL Uri;ISR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.0;8.233;;13.233;32
KUAVITA Noah;BEL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.2;8.033;;13.233;33
MYAKININ Alexander;ISR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.5;7.733;;13.233;34
MESZAROS Krisztofer;HUN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.7;7.533;;13.233;35
TAMSEL Dominic;SUI;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.1;8.100;;13.200;36
DAUSER Lukas;GER;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.1;8.066;;13.166;37
KISS Balazs;HUN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.4;7.766;;13.166;38
REGINI-MORAN Giarnni;GBR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.4;7.733;;13.133;39
KOLODII Pantely;UKR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.3;7.800;;13.100;40
SALADINO Leo;FRA;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.1;7.966;;13.066;41
MICKEVICS Dmitrijs;LAT;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.3;7.766;;13.066;42
JARMAN Jake;GBR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.4;7.633;;13.033;43
MIR Nicolau;ESP;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.8;8.200;;13.000;44
BERNARD Cameron-Lie;FRA;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.0;8.000;;13.000;45
HEGGEMSNES Sofus;NOR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;! 5.1;7.866;;12.966;46
TOMCSANYI Benedek;HUN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.8;7.133;;12.933;47
CUYLE Nicola;BEL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.1;7.800;;12.900;48
SLIZ Radomir;CZE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.2;7.700;;12.900;49
LEVANTESI Matteo;ITA;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.0;7.866;;12.866;50
CASALI Lorenzo Minh;ITA;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.8;8.033;;12.833;51
BALAZS Krisztian;HUN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.9;7.933;;12.833;52
FOX Daniel;IRL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.6;8.200;;12.800;53
MELNYKOV Mykyta;UKR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.6;7.200;;12.800;54
RUMBUTIS David;SWE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.1;7.666;;12.766;55
BURTANETE Gabriel;ROU;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.4;8.300;;12.700;56
SKHILADZE Levan;GEO;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.2;7.500;;12.700;57
GULIDOV Pavel;ISR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.6;8.033;;12.633;58
NOGUEIRA Jose;POR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;3.9;8.666;;12.566;59
MATIEV Askhab;AUT;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.3;8.233;;12.533;60
ABBADINI Yumin;ITA;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.0;7.533;;12.533;61
PFYL Marco;SUI;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.4;8.100;;12.500;62
BURTANETE Robert;ROU;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.1;8.366;;12.466;63
MARC Razvan-Denis;ROU;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.3;8.100;;12.400;64
KIRMES Oskar;FIN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.7;7.700;;12.400;65
BENDA Alexander;AUT;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.1;8.166;;12.266;66
TRIFONOV Teodor;BUL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.6;7.666;;12.266;67
KANERVA Tarmo;FIN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.4;7.833;;12.233;68
TIKHONOV Ivan;AZE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.7;6.533;;12.233;69
KUZMICKAS Tomas;LTU;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.5;7.700;;12.200;70
KELESIDIS Georgios;GRE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.2;7.000;;12.200;71
GEORGIOU Marios;CYP;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;6.2;5.833;;12.033;72
ANGONAS Georgios;CYP;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;3.9;8.100;;12.000;73
GRUENBERG Jermain;NED;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.3;7.700;;12.000;74
FREY Andrin;SUI;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.9;7.100;;12.000;75
REINHARDSSON Valgard;ISL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;3.6;8.333;;11.933;76
WIBYE Harald;NOR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;3.9;8.033;;11.933;77
DOLGOPYAT Artem;ISR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.6;6.333;;11.933;78
ALEKSANDROV Yordan;BUL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.6;7.300;;11.900;79
PETROV Matvei;ALB;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.8;6.100;;11.900;80
SKOGVANG Peder;NOR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.0;7.866;;11.866;81
MARQUES Marcelo;POR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.2;6.566;;11.766;82
MC ATEER Ewan;IRL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.0;7.733;;11.733;83
CUNNINGHAM Dominick;IRL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.2;7.533;;11.733;84
KANELLOS Apostolos;GRE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.3;6.433;;11.733;85
PAKHNIUK Petro;UKR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.5;6.233;;11.733;86
LENBERG Joakim;SWE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.4;7.233;;11.633;87
HAGENAAR Jordi;NED;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.2;7.366;;11.566;88
ABESADZE Saba;GEO;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;3.8;7.700;;11.500;89
VALGEIRSSON Atli Snaer;ISL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.2;7.300;;11.500;90
NEMCOVIC Matej;SVK;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.3;6.200;;11.500;91
SITCHINAVA Bidzina;GEO;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.3;7.066;;11.366;92
PLATE Ricards;LAT;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.7;6.666;;11.366;93
KARLSEN Jacob;NOR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.1;7.200;;11.300;94
ONOSHIMA Takumi;BEL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;! 3.8;7.366;;11.166;95
CHARI Michalis;CYP;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;3.6;7.466;;11.066;96
CAMPOS Guilherme;POR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;3.4;7.533;;10.933;97
SENER Kerem;TUR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;3.1;7.800;;10.900;98
VAN DEN KEYBUS Luka;BEL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.6;5.300;;10.900;99
ALMEIDA Filipe;POR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;3.5;7.366;;10.866;100
KRANITIS Nikolaos;GRE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;3.7;7.100;;10.800;101
GUDMUNDSSON Martin;ISL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;3.6;7.166;;10.766;102
LIASKINAS Ernestas;LTU;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.0;6.733;;10.733;103
THORISSON Jonas Ingi;ISL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;2.8;8.200;-0.30;10.700;104
ABAD Nestor;ESP;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;5.0;5.500;;10.500;105
RAMSAHAI Yazz;NED;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.4;5.900;;10.300;106
VEFIC Petar;SRB;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;3.8;6.466;;10.266;107
JIMSHELEISHVILI Ioane;GEO;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;4.2;5.466;;9.666;108
MODOIANU-ZSEDER Toma Roland;ROU;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;2.9;6.400;;9.300;109
GAHRAMANOV Aghamurad;AZE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;3.6;5.700;;9.300;110
JACOBSEN Aron;DEN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;3.6;5.566;;9.166;111
SAFAROV Mansum;AZE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;3.9;4.966;;8.866;112
GAWRONSKI Sebastian;POL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;3.2;7.733;-3.00;7.933;113
GKINIS Stavros;GRE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;3.6;6.366;-3.00;6.966;114
IDESJOE Karl;SWE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;2.2;7.066;-4.00;5.266;115
KUZMICKAS Titas;LTU;18/08/2022;2022;European Championships;Munich EUCH 2022;N;PH;3.1;5.100;-4.00;4.200;116
PETROUNIAS Eleftherios;GRE;18/08/2022;2022;European Championships;Munich EUCH 2022;Y;SR;6.2;8.900;;15.100;1
ASIL Adem;TUR;18/08/2022;2022;European Championships;Munich EUCH 2022;Y;SR;6.3;8.633;;14.933;2
HOECK Vinzenz;AUT;18/08/2022;2022;European Championships;Munich EUCH 2022;Y;SR;6.2;8.666;;14.866;3
TULLOCH Courtney;GBR;18/08/2022;2022;European Championships;Munich EUCH 2022;Y;SR;6.1;8.633;;14.733;4
DAVTYAN Vahagn;ARM;18/08/2022;2022;European Championships;Munich EUCH 2022;Y;SR;6.0;8.666;;14.666;5
AVETISYAN Artur;ARM;18/08/2022;2022;European Championships;Munich EUCH 2022;Y;SR;6.0;8.633;;14.633;6
SIMONOV Nikita;AZE;18/08/2022;2022;European Championships;Munich EUCH 2022;Y;SR;6.0;8.600;;14.600;7
RADIVILOV Igor;UKR;18/08/2022;2022;European Championships;Munich EUCH 2022;Y;SR;6.0;8.400;;14.400;8
FRASER Joe;GBR;18/08/2022;2022;European Championships;Munich EUCH 2022;R;SR;5.6;8.666;;14.266;9
KOSAK Mehmet Ayberk;TUR;18/08/2022;2022;European Championships;Munich EUCH 2022;R;SR;6.1;8.100;;14.200;10
CINGOLANI Andrea;ITA;18/08/2022;2022;European Championships;Munich EUCH 2022;R;SR;6.0;8.066;;14.066;11
ZAPATA Rayderley;ESP;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.5;8.533;;14.033;12
MARC Razvan-Denis;ROU;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.3;8.666;;13.966;13
TOBA Andreas;GER;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.5;8.466;;13.966;14
ONDER Ahmet;TUR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.8;8.133;;13.933;15
PILAKOURIS Sokratis;CYP;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.9;8.033;;13.933;16
MUNTEAN Andrei Vasile;ROU;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.3;8.533;;13.833;17
TIKHONOV Ivan;AZE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.7;8.133;;13.833;18
BURTANETE Gabriel;ROU;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.9;8.833;;13.733;19
KARLSEN Jacob;NOR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.3;8.433;;13.733;20
FOX Daniel;IRL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.7;8.033;;13.733;21
SALADINO Leo;FRA;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.1;8.600;;13.700;22
ABAD Nestor;ESP;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.3;8.366;;13.666;23
KOLODII Pantely;UKR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.0;8.633;;13.633;24
SEIFERT Noe;SUI;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.0;8.600;;13.600;25
KISS Balazs;HUN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.1;8.500;;13.600;26
GULIDOV Pavel;ISR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.4;8.166;;13.566;27
MODOIANU-ZSEDER Toma Roland;ROU;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.1;8.433;;13.533;28
HALL James;GBR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.2;8.333;;13.533;29
SKHILADZE Levan;GEO;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.8;8.700;;13.500;30
CASALI Lorenzo Minh;ITA;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.1;8.400;;13.500;31
PLATA Joel;ESP;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.0;8.433;;13.433;32
GAWRONSKI Sebastian;POL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.0;8.400;;13.400;33
DUNKEL Nils;GER;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.3;8.100;;13.400;34
TOMCSANYI Benedek;HUN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.1;8.266;;13.366;35
TAMSEL Dominic;SUI;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.5;8.833;;13.333;36
DAUSER Lukas;GER;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.2;8.133;;13.333;37
CUYLE Glen;BEL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.7;7.633;;13.333;38
HEGGEMSNES Sofus;NOR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.6;8.700;;13.300;39
KIRMES Robert;FIN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.7;8.566;;13.266;40
SENER Kerem;TUR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.3;7.966;;13.266;41
IDESJOE Karl;SWE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.5;8.733;;13.233;42
DEGOUY Paul;FRA;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.7;8.500;;13.200;43
ALEKSANDROV Yordan;BUL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.8;8.366;;13.166;44
ONOSHIMA Takumi;BEL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.4;8.733;;13.133;45
DE MUNCK Loran;NED;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.6;8.533;;13.133;46
LEVANTESI Matteo;ITA;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.7;8.433;;13.133;47
TREBING Glenn;GER;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.0;8.133;;13.133;48
HUDDLESTON David;BUL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.3;7.833;;13.133;49
OSBERGER Benjamin;FRA;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.3;8.800;;13.100;50
GKINIS Stavros;GRE;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.1;8.000;;13.100;51
PFYL Marco;SUI;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.8;8.266;;13.066;52
MESZAROS Krisztofer;HUN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.4;8.633;;13.033;53
NEMCOVIC Matej;SVK;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.6;8.433;;13.033;54
ABESADZE Saba;GEO;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.7;8.333;;13.033;55
ZEIDEL Uri;ISR;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.3;8.700;;13.000;56
BALAZS Krisztian;HUN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.4;8.600;;13.000;57
ARNOLD Manuel Helmut;AUT;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.9;8.100;;13.000;58
FREY Andrin;SUI;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.9;8.100;;13.000;58
KOSKI Elias;FIN;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.7;8.266;;12.966;60
CUNNINGHAM Dominick;IRL;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.1;7.866;;12.966;61
JIMSHELEISHVILI Ioane;GEO;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.3;8.633;;12.933;62
BOJANC Luka;SLO;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;5.1;7.800;;12.900;63
KHACHIKYAN Gagik;ARM;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.1;8.766;;12.866;64
GRUENBERG Jermain;NED;18/08/2022;2022;European Championships;Munich EUCH 2022;N;SR;4.2;8.666;;12.866;65
